,Time,Epoch,Step,LR,Loss,Accuracy,IoU,Dice
27,2024-05-11_08:20:52,3,48,0.024471043990880726,0.4446077140010133,0.3953163769780373,0.5026889557720337,0.44357594892546753
28,2024-05-11_08:20:53,4,0,0.02413517179337074,0.4239548146724701,0.3580169677734375,0.46676839340087267,0.4212891757551434
29,2024-05-11_08:20:59,4,8,0.02413517179337074,0.4149360954761505,0.3768002545392072,0.5156941185863229,0.44353526865972775
30,2024-05-11_08:21:05,4,16,0.02413517179337074,0.4125137960209566,0.37480761958103553,0.5137680006374711,0.42740209911564353
31,2024-05-11_08:21:10,4,24,0.02413517179337074,0.4109079873561859,0.3787885030110677,0.5159743745818701,0.4250915413215441
32,2024-05-11_08:21:16,4,32,0.02413517179337074,0.40913918343457306,0.3765489212190262,0.5138582816493558,0.4196177338214377
33,2024-05-11_08:21:22,4,40,0.02413517179337074,0.4074866531825647,0.3747392669925845,0.5133044828263637,0.416021667976217
34,2024-05-11_08:21:27,4,48,0.02413517179337074,0.40584737549022754,0.3749031014993888,0.5172917314731093,0.415498848825567
35,2024-05-11_08:21:29,5,0,0.023728951670583268,0.3963967263698578,0.3753369649251302,0.5484191135168719,0.38126274460849946
36,2024-05-11_08:21:34,5,8,0.023728951670583268,0.3956959578726027,0.3699024341724537,0.5282460827872749,0.3862671973024176
37,2024-05-11_08:21:40,5,16,0.023728951670583268,0.3946504733141731,0.3656912410960478,0.5188702868717576,0.38026069371900634
38,2024-05-11_08:21:46,5,24,0.023728951670583268,0.3935021531581879,0.363075917561849,0.5143837363375706,0.37634762127161864
39,2024-05-11_08:21:51,5,32,0.023728951670583268,0.3931913267482411,0.3635371044428662,0.5153828556276268,0.3799311062931839
40,2024-05-11_08:21:57,5,40,0.023728951670583268,0.3921402394771576,0.3645370607453633,0.5187710345073466,0.37892360632634764
41,2024-05-11_08:22:03,5,48,0.023728951670583268,0.3913207485967753,0.3652327920303864,0.5210850079954761,0.3774048253483034
42,2024-05-11_08:22:04,6,0,0.023254885861648728,0.38432228565216064,0.3668200174967448,0.5290133352222663,0.35145412048398406
43,2024-05-11_08:22:10,6,8,0.023254885861648728,0.3850279251734416,0.36840184529622394,0.5375782902350125,0.3622836023814358
44,2024-05-11_08:22:15,6,16,0.023254885861648728,0.38459941043573265,0.36389878216911764,0.5253168721031183,0.3597974904886879
45,2024-05-11_08:22:21,6,24,0.023254885861648728,0.38447630643844605,0.36341944376627605,0.5238735883303343,0.3591937198550101
46,2024-05-11_08:22:27,6,32,0.023254885861648728,0.38385625680287677,0.3637550816391454,0.5257264701013729,0.35776037267152594
47,2024-05-11_08:22:33,6,40,0.023254885861648728,0.38343922684832316,0.3628709064266546,0.5234978436939082,0.3530799176028414
48,2024-05-11_08:22:38,6,48,0.023254885861648728,0.3829233774117061,0.3616933498252817,0.5217495692635058,0.34636723864717694
49,2024-05-11_08:22:40,7,0,0.022715894843954195,0.3796471059322357,0.3708788553873698,0.5465231494136688,0.3258769805492216
